,F1-Micro,F1-Weighted,Precision-Micro,Precision-Weighted,Recall-Micro,Recall-Weighted
0,0.7906976744186046,0.6982784657203261,0.7906976744186046,0.6252028123309897,0.7906976744186046,0.7906976744186046
1,0.7906976744186046,0.6982784657203261,0.7906976744186046,0.6252028123309897,0.7906976744186046,0.7906976744186046
2,0.7906976744186046,0.6982784657203261,0.7906976744186046,0.6252028123309897,0.7906976744186046,0.7906976744186046
3,0.7890625,0.6960289301310043,0.7890625,0.62261962890625,0.7890625,0.7890625
4,0.7952755905511811,0.7045862688216605,0.7952755905511811,0.6324632649265298,0.7952755905511811,0.7952755905511811
5,0.7952755905511811,0.7045862688216605,0.7952755905511811,0.6324632649265298,0.7952755905511811,0.7952755905511811
6,0.7952755905511811,0.7045862688216605,0.7952755905511811,0.6324632649265298,0.7952755905511811,0.7952755905511811
7,0.7952755905511811,0.7045862688216605,0.7952755905511811,0.6324632649265298,0.7952755905511811,0.7952755905511811
8,0.7952755905511811,0.7045862688216605,0.7952755905511811,0.6324632649265298,0.7952755905511811,0.7952755905511811
9,0.7952755905511811,0.7045862688216605,0.7952755905511811,0.6324632649265298,0.7952755905511811,0.7952755905511811
