,F1-Micro,F1-Weighted,Precision-Micro,Precision-Weighted,Recall-Micro,Recall-Weighted
0,0.8992248062015503,0.8515108368928967,0.8992248062015504,0.8086052520882159,0.8992248062015504,0.8992248062015504
1,0.8992248062015503,0.8515108368928967,0.8992248062015504,0.8086052520882159,0.8992248062015504,0.8992248062015504
2,0.8992248062015503,0.8515108368928967,0.8992248062015504,0.8086052520882159,0.8992248062015504,0.8992248062015504
3,0.90625,0.8616803278688524,0.90625,0.8212890625,0.90625,0.90625
4,0.905511811023622,0.8606103989067482,0.905511811023622,0.8199516399032798,0.905511811023622,0.905511811023622
5,0.905511811023622,0.8606103989067482,0.905511811023622,0.8199516399032798,0.905511811023622,0.905511811023622
6,0.905511811023622,0.8606103989067482,0.905511811023622,0.8199516399032798,0.905511811023622,0.905511811023622
7,0.905511811023622,0.8606103989067482,0.905511811023622,0.8199516399032798,0.905511811023622,0.905511811023622
8,0.905511811023622,0.8606103989067482,0.905511811023622,0.8199516399032798,0.905511811023622,0.905511811023622
9,0.905511811023622,0.8606103989067482,0.905511811023622,0.8199516399032798,0.905511811023622,0.905511811023622
